Baseline 100%T,,
Wavelength (nm),%T,
3155,114.0619431,
3154.5,114.4444733,
3154,114.1040421,
3153.5,114.0309601,
3153,113.7798538,
3152.5,113.7368546,
3152,113.6966019,
3151.5,113.8554077,
3151,113.9421921,
3150.5,113.9545822,
3150,113.7727585,
3149.5,113.7081375,
3149,113.5005493,
3148.5,113.5806808,
3148,113.6689529,
3147.5,113.6260529,
3147,113.7521362,
3146.5,113.6973114,
3146,113.7167358,
3145.5,113.5891876,
3145,113.5111542,
3144.5,113.3527985,
3144,113.4585114,
3143.5,113.5203934,
3143,113.6394958,
3142.5,113.6398468,
3142,113.4294662,
3141.5,113.5573654,
3141,113.4874573,
3140.5,113.3415833,
3140,113.4493942,
3139.5,113.4538803,
3139,113.408432,
3138.5,113.4890289,
3138,113.4386749,
3137.5,113.2441177,
3137,113.2532959,
3136.5,113.2487183,
3136,113.2716522,
3135.5,113.3546829,
3135,113.4197693,
3134.5,113.5695114,
3134,113.2827911,
3133.5,113.2705002,
3133,113.1369934,
3132.5,113.1582947,
3132,113.1521835,
3131.5,112.9399185,
3131,113.2084045,
3130.5,113.419548,
3130,113.212944,
3129.5,113.1368866,
3129,113.0760345,
3128.5,113.0572586,
3128,112.9998093,
3127.5,113.1255264,
3127,113.0950089,
3126.5,113.2087555,
3126,113.151947,
3125.5,112.9592438,
3125,113.0026703,
3124.5,112.9119415,
3124,113.086174,
3123.5,113.0895767,
3123,113.0917206,
3122.5,113.119545,
3122,113.0840149,
3121.5,113.0345078,
3121,112.9371262,
3120.5,112.7665863,
3120,112.771225,
3119.5,112.8513718,
3119,113.0378876,
3118.5,112.9794617,
3118,112.9668808,
3117.5,113.012085,
3117,112.9030457,
3116.5,112.7829895,
3116,112.8306656,
3115.5,112.6977768,
3115,112.9504089,
3114.5,112.7466202,
3114,112.8557892,
3113.5,112.8456268,
3113,112.8565826,
3112.5,112.7615814,
3112,112.7798309,
3111.5,112.7965088,
3111,112.7886276,
3110.5,112.8594055,
3110,112.7698517,
3109.5,112.8173676,
3109,112.6216431,
3108.5,112.6697998,
3108,112.6905899,
3107.5,112.7561188,
3107,112.7415619,
3106.5,112.8191986,
3106,112.7493515,
3105.5,112.6345673,
3105,112.5276184,
3104.5,112.6342316,
3104,112.5849838,
3103.5,112.4559021,
3103,112.6212616,
3102.5,112.5744095,
3102,112.6346741,
3101.5,112.6211548,
3101,112.5448227,
3100.5,112.5441895,
3100,112.5004044,
3099.5,112.4951859,
3099,112.6690521,
3098.5,112.5983505,
3098,112.744751,
3097.5,112.6837769,
3097,112.5514526,
3096.5,112.7313766,
3096,112.6033936,
3095.5,112.5805969,
3095,112.6516113,
3094.5,112.7107239,
3094,112.6155701,
3093.5,112.5139008,
3093,112.4164581,
3092.5,112.3886337,
3092,112.4296036,
3091.5,112.4885406,
3091,112.4893188,
3090.5,112.4849319,
3090,112.4987106,
3089.5,112.4536667,
3089,112.3075485,
3088.5,112.3665314,
3088,112.2921906,
3087.5,112.3875961,
3087,112.4946213,
3086.5,112.4585953,
3086,112.4570007,
3085.5,112.4119873,
3085,112.3337173,
3084.5,112.338089,
3084,112.4806747,
3083.5,112.3605881,
3083,112.4229202,
3082.5,112.3985062,
3082,112.4219055,
3081.5,112.3821106,
3081,112.3854294,
3080.5,112.4261169,
3080,112.3862381,
3079.5,112.4173737,
3079,112.4806137,
3078.5,112.4825439,
3078,112.3942261,
3077.5,112.3541489,
3077,112.3537445,
3076.5,112.3634186,
3076,112.3006821,
3075.5,112.4185333,
3075,112.3226395,
3074.5,112.3952255,
3074,112.3670578,
3073.5,112.3672485,
3073,112.3124847,
3072.5,112.3580093,
3072,112.3041382,
3071.5,112.3217239,
3071,112.3801117,
3070.5,112.3403549,
3070,112.3381882,
3069.5,112.259552,
3069,112.310585,
3068.5,112.3489609,
3068,112.316658,
3067.5,112.3872528,
3067,112.2890854,
3066.5,112.3684311,
3066,112.3089676,
3065.5,112.2845764,
3065,112.2700958,
3064.5,112.2910767,
3064,112.2592926,
3063.5,112.3397675,
3063,112.3942719,
3062.5,112.3503571,
3062,112.3252258,
3061.5,112.2493286,
3061,112.3261566,
3060.5,112.3106384,
3060,112.2889786,
3059.5,112.3386612,
3059,112.2843399,
3058.5,112.381485,
3058,112.3392944,
3057.5,112.3550797,
3057,112.3443832,
3056.5,112.3214493,
3056,112.3691788,
3055.5,112.3195877,
3055,112.3567429,
3054.5,112.352684,
3054,112.3061295,
3053.5,112.344574,
3053,112.3961182,
3052.5,112.3724213,
3052,112.3933945,
3051.5,112.3907471,
3051,112.3894348,
