Ftorid-DK-68-CeF3-N5-l_10-T-Scan_200-3300_2x5mm-11-12-17-Step_0_5-SBW_1_0,,
Wavelength (nm),%T,
3251.5,0.4338974059,
3251,0.3686124384,
3250.5,0.3741896152,
3250,0.03714654967,
3249.5,-0.1774449199,
3249,0.4359285235,
3248.5,0.07496175915,
3248,0.4990554452,
3247.5,0.5676209927,
3247,0.1628687084,
3246.5,0.2425456196,
3246,0.2465147078,
3245.5,0.531218648,
3245,0.0767917335,
3244.5,0.3338318765,
3244,0.5360184312,
3243.5,0.00629959302,
3243,0.4824348688,
3242.5,0.2844002545,
3242,0.2563044727,
3241.5,0.008870664053,
3241,-0.02823069878,
3240.5,0.5170589089,
3240,0.2243012637,
3239.5,0.4737682641,
3239,0.3571099937,
3238.5,0.5503416657,
3238,0.3123900294,
3237.5,0.1386396438,
3237,0.3956642151,
3236.5,0.1657899171,
3236,0.1087838635,
3235.5,0.1168341041,
3235,0.05014420673,
3234.5,0.4551727772,
3234,0.4298014939,
3233.5,0.414952457,
3233,0.4814439118,
3232.5,0.3371146917,
3232,0.2832643986,
3231.5,0.7041751146,
3231,0.1865421236,
3230.5,0.3498024046,
3230,0.05917802826,
3229.5,0.3102232814,
3229,0.09625060856,
3228.5,0.07882028818,
3228,-0.004882392939,
3227.5,0.2687554359,
3227,0.4467287958,
3226.5,0.1378303617,
3226,0.2518731952,
3225.5,0.3385300338,
3225,0.2907215953,
3224.5,0.3363173902,
3224,0.2419573069,
3223.5,0.2850019038,
3223,0.2928299308,
3222.5,0.307700187,
3222,0.2395488769,
3221.5,0.2637313902,
3221,-0.06509959698,
3220.5,0.1447666287,
3220,0.2909677327,
3219.5,0.1759753525,
3219,0.1905485243,
3218.5,0.07365424931,
3218,0.2378230244,
3217.5,0.07424204051,
3217,0.2677617371,
3216.5,0.1954375505,
3216,0.3872621357,
3215.5,0.2481254786,
3215,0.2138988078,
3214.5,0.2778354883,
3214,0.3404169679,
3213.5,0.1460855603,
3213,0.2395997494,
3212.5,0.2026211172,
3212,-0.0001785724598,
3211.5,0.08594917506,
3211,0.2063690424,
3210.5,0.1790871471,
3210,0.1907934695,
3209.5,0.06655121595,
3209,0.08388703316,
3208.5,0.1311069876,
3208,0.1421284229,
3207.5,0.1491063386,
3207,0.05634305999,
3206.5,0.3856795728,
3206,0.2551783323,
3205.5,0.257142365,
3205,0.2824372053,
3204.5,0.1461320072,
3204,0.2841024995,
3203.5,0.100120917,
3203,0.1489579827,
3202.5,0.1349464804,
3202,0.2878869772,
3201.5,0.228591308,
3201,0.1492807418,
3200.5,0.04874147847,
3200,0.2039401531,
3199.5,0.1830184907,
3199,0.3251492977,
3198.5,0.2011264712,
3198,0.1266106665,
3197.5,0.3652260303,
3197,0.1773497611,
3196.5,0.1130725369,
3196,0.05461495742,
3195.5,-0.04077755287,
3195,0.05119884014,
3194.5,0.1176544428,
3194,-0.07002511621,
3193.5,0.1817238182,
3193,0.1288947314,
3192.5,0.3898884356,
3192,0.04310088232,
3191.5,0.1589044482,
