Baseline 100%T,,
Wavelength (nm),Abs,
2893.5,-0.0503276214,
2893,-0.05032720789,
2892.5,-0.05041858181,
2892,-0.05045541376,
2891.5,-0.05018028617,
2891,-0.05005868897,
2890.5,-0.04984235018,
2890,-0.04982610419,
2889.5,-0.05000812188,
2889,-0.04994772002,
2888.5,-0.04993475229,
2888,-0.04989201576,
2887.5,-0.04959939793,
2887,-0.04956355691,
2886.5,-0.04956420511,
2886,-0.04971452057,
2885.5,-0.04999898747,
2885,-0.04994675145,
2884.5,-0.04986612126,
2884,-0.04980929941,
2883.5,-0.04965033755,
2883,-0.04989058524,
2882.5,-0.05001721159,
2882,-0.05007954314,
2881.5,-0.05013886467,
2881,-0.0499500744,
2880.5,-0.04978557304,
2880,-0.04978335649,
2879.5,-0.04980089888,
2879,-0.05000576749,
2878.5,-0.05000415444,
2878,-0.04987046123,
2877.5,-0.04987839982,
2877,-0.04963070899,
2876.5,-0.04947449639,
2876,-0.04959404096,
2875.5,-0.04966488108,
2875,-0.04979499057,
2874.5,-0.04964248464,
2874,-0.04924742132,
2873.5,-0.04931305349,
2873,-0.04921858013,
2872.5,-0.04925384745,
2872,-0.0494020544,
2871.5,-0.04927030206,
2871,-0.04933676124,
2870.5,-0.04921557382,
2870,-0.04901897907,
2869.5,-0.04906411469,
2869,-0.04907969758,
2868.5,-0.04922038317,
2868,-0.04935427383,
2867.5,-0.04919195175,
2867,-0.04909199849,
2866.5,-0.04904950038,
2866,-0.04899826273,
2865.5,-0.04926567897,
2865,-0.04926623404,
2864.5,-0.04919394106,
2864,-0.04930713773,
2863.5,-0.04907433316,
2863,-0.04899437726,
2862.5,-0.04903900623,
2862,-0.04902439192,
2861.5,-0.0492115058,
2861,-0.04924723879,
2860.5,-0.04907493293,
2860,-0.0490369238,
2859.5,-0.04888581857,
2859,-0.04896130785,
2858.5,-0.04917799309,
2858,-0.04899729043,
2857.5,-0.04894225299,
2857,-0.04880758375,
2856.5,-0.0486330688,
2856,-0.04870420694,
2855.5,-0.04858289286,
2855,-0.04853942245,
2854.5,-0.04869134352,
2854,-0.04856483638,
2853.5,-0.04850807786,
2853,-0.04835196957,
2852.5,-0.04817685485,
2852,-0.04844695702,
2851.5,-0.04846218973,
2851,-0.04840226844,
2850.5,-0.04837397113,
2850,-0.04822077975,
2849.5,-0.04830037057,
2849,-0.04842565209,
2848.5,-0.04836767167,
2848,-0.04852104187,
2847.5,-0.04853400588,
2847,-0.04855233803,
2846.5,-0.04871989787,
2846,-0.04858599231,
2845.5,-0.04870453104,
2845,-0.04892560095,
2844.5,-0.04884057119,
2844,-0.04892291501,
2843.5,-0.04873340949,
2843,-0.04859881476,
2842.5,-0.04877292737,
2842,-0.04871425033,
2841.5,-0.04879865423,
2841,-0.04870698601,
2840.5,-0.04845214263,
