IOH-SAI-02-Abs-Scan_200-790_DRA-Et-05-11-20,,
Energy (eV),%T,
1.7463,36.4656072059,
1.7463,36.4656072059,
1.7487,36.4228894860,
1.7487,36.4228894860,
1.7512,36.3987230602,
1.7512,36.3987230602,
1.7537,36.3517703688,
1.7537,36.3517703688,
1.7562,36.2923863914,
1.7562,36.2923863914,
1.7586,36.1991610282,
1.7586,36.1991610282,
1.7611,36.2520756335,
1.7611,36.2520756335,
1.7636,36.2034189725,
1.7636,36.2034189725,
1.7662,36.1595493331,
1.7662,36.1595493331,
1.7687,36.1479905522,
1.7687,36.1479905522,
1.7712,36.1013389998,
1.7712,36.1013389998,
1.7737,36.0932587541,
1.7737,36.0932587541,
1.7763,36.1034225152,
1.7763,36.1034225152,
1.7788,36.0262367831,
1.7788,36.0262367831,
1.7814,36.0623688766,
1.7814,36.0623688766,
1.7839,36.0865571395,
1.7839,36.0865571395,
1.7865,36.0383649964,
1.7865,36.0383649964,
1.7891,36.0284148671,
1.7891,36.0284148671,
1.7917,36.1333433271,
1.7917,36.1333433271,
1.7943,36.1557927590,
1.7943,36.1557927590,
1.7969,36.1745547196,
1.7969,36.1745547196,
1.7995,36.1983214201,
1.7995,36.1983214201,
1.8021,36.2760949032,
1.8021,36.2760949032,
1.8047,36.2597186624,
1.8047,36.2597186624,
1.8073,36.1966670994,
1.8073,36.1966670994,
1.8100,36.2909344809,
1.8100,36.2909344809,
1.8126,36.3027681569,
1.8126,36.3027681569,
1.8153,36.3678637478,
1.8153,36.3678637478,
1.8180,36.4126857598,
1.8180,36.4126857598,
1.8206,36.3396813239,
1.8206,36.3396813239,
1.8233,36.3745626935,
1.8233,36.3745626935,
1.8260,36.3997971160,
1.8260,36.3997971160,
1.8287,36.3827358728,
1.8287,36.3827358728,
1.8314,36.3805438574,
1.8314,36.3805438574,
1.8341,36.4248015986,
1.8341,36.4248015986,
1.8368,36.4456263534,
1.8368,36.4456263534,
1.8395,36.4740836681,
1.8395,36.4740836681,
1.8423,36.4240592370,
1.8423,36.4240592370,
1.8450,36.4780310190,
1.8450,36.4780310190,
1.8478,36.4326885514,
1.8478,36.4326885514,
1.8505,36.3849280119,
1.8505,36.3849280119,
1.8533,36.4187756658,
1.8533,36.4187756658,
1.8561,36.4503510228,
1.8561,36.4503510228,
1.8588,36.3936005056,
1.8588,36.3936005056,
1.8616,36.3862663285,
1.8616,36.3862663285,
1.8644,36.4384267255,
1.8644,36.4384267255,
1.8672,36.4381791802,
1.8672,36.4381791802,
1.8700,36.3767693165,
1.8700,36.3767693165,
1.8729,36.4002492263,
1.8729,36.4002492263,
1.8757,36.3923318389,
1.8757,36.3923318389,
1.8785,36.3938102896,
1.8785,36.3938102896,
1.8814,36.4130580679,
1.8814,36.4130580679,
1.8843,36.4014557250,
1.8843,36.4014557250,
1.8871,36.4273662271,
1.8871,36.4273662271,
1.8900,36.4311260197,
1.8900,36.4311260197,
1.8929,36.4124383893,
1.8929,36.4124383893,
1.8958,36.3451180252,
1.8958,36.3451180252,
1.8987,36.4175361079,
1.8987,36.4175361079,
