IOH-SAI-02-R-Scan_200-790_DRA-Et-09-11-20,,
Wavelength (nm),%R,
485,46.55244827,
484,46.52618408,
483,46.49819183,
482,46.50914383,
481,46.49477768,
480,46.43806458,
479,46.40696716,
478,46.43602753,
477,46.43600464,
476,46.32701111,
475,46.34120941,
474,46.35383224,
473,46.34050369,
472,46.39152145,
471,46.34394836,
470,46.2936821,
469,46.32724762,
468,46.31274796,
467,46.34923172,
466,46.27877808,
465,46.23861313,
464,46.22420502,
463,46.2336998,
462,46.25601959,
461,46.19706726,
460,46.20194626,
459,46.12776947,
458,46.10889053,
457,46.03675461,
456,46.08039474,
455,46.05717468,
454,46.00637436,
453,46.0397377,
452,45.98741531,
451,46.00161362,
450,45.94467926,
449,45.9357605,
448,45.90869141,
447,45.88903046,
446,45.92725754,
445,45.86163712,
444,45.7738533,
443,45.88747025,
442,45.78464508,
441,45.7268219,
440,45.74956512,
439,45.676651,
438,45.61603546,
437,45.56296921,
436,45.62654495,
435,45.57559204,
434,45.49695969,
433,45.43537903,
432,45.4491539,
431,45.36860657,
430,45.39151001,
429,45.37892532,
428,45.31438828,
427,45.23499298,
426,45.24881744,
425,45.19254684,
424,45.06998444,
423,45.03397751,
422,44.97013474,
421,44.8960762,
420,44.95707321,
419,44.84069061,
418,44.77885818,
417,44.73003769,
416,44.5976181,
415,44.63518143,
414,44.55050278,
413,44.56554794,
412,44.40916061,
411,44.29173279,
410,44.36607742,
409,44.28433228,
408,44.2321434,
407,44.16569901,
406,44.06084061,
405,44.06815338,
404,43.9750824,
403,43.92979813,
402,43.80426788,
401,43.81402969,
400,43.7083168,
399,43.6121521,
398,43.62997818,
397,43.45875168,
396,43.37812424,
395,43.30532455,
394,43.08344269,
393,43.19157791,
392,42.93994522,
391,42.97001266,
390,42.73987198,
389,42.72820282,
388,42.63903046,
387,42.43798828,
386,42.37830734,
385,42.11669159,
384,42.12017822,
383,42.04347992,
382,41.86194992,
381,41.72890854,
380,41.56328201,
379,41.38494492,
378,41.19382858,
377,41.07175827,
376,40.89907455,
375,40.62579727,
374,40.46760941,
373,40.21395493,
372,39.96270752,
371,39.67695236,
370,39.46097946,
369,39.1462326,
368,38.76041031,
367,38.33498001,
366,37.94090271,
365,37.58810806,
364,37.14550018,
363,36.85617828,
362,36.25232697,
361,35.9484787,
360,35.54524994,
359,35.02172089,
358,34.57282639,
357,34.25186539,
356,33.83911133,
355,33.35213089,
354,33.13684082,
353,32.56157684,
352,32.28697586,
