Vozduh-Abs-Kin,,
Time (min),Abs,
0.008333333768,-0.0001330334926,
0.02500000224,-0.0001279613789,
0.04166667163,-0.0001406415831,
0.05833333731,-0.0001420389599,
0.07500000298,-0.000138053816,
0.0916666761,-0.0001470074203,
0.1083333418,-0.0001386231161,
0.1250000149,-0.0001352590043,
0.1416666657,-0.000138053816,
0.1583333462,-0.0001363458723,
0.1750000119,-0.00012257864,
0.1916666776,-0.0001396582229,
0.2083333433,-0.0001371739636,
0.2250000089,-0.0001296693372,
0.2416666895,-0.0001120717789,
0.2583333552,-0.0001365529024,
0.275000006,-0.0001325677003,
0.2916666567,-0.0001352072431,
0.3083333671,-0.0001404863142,
0.3250000179,-0.0001233549992,
0.3416666985,-0.0001367081713,
0.358333379,-0.0001435916056,
0.3750000298,-0.0001328782382,
0.3916667104,-0.0001428670366,
0.4083333611,-0.0001454547746,
0.4250000417,-0.0001476802281,
0.4416666925,-0.0001454547746,
0.4583333731,-0.0001383125928,
0.4750000238,-0.000145972328,
0.4916667044,-0.0001407968375,
0.508333385,-0.0001394512074,
0.5250000358,-0.0001372774714,
0.5416666865,-0.0001536836789,
0.5583333373,-0.0001477837359,
0.5749999881,-0.0001491293369,
0.5916666389,-0.00013567305,
0.6083333492,-0.0001379502937,
0.6250000596,-0.0001470591669,
0.6416667104,-0.0001419354521,
0.6583334208,-0.0001402792841,
0.6750000715,-0.0001512512536,
0.6916667223,-0.0001549775188,
0.7083333731,-0.000141159122,
0.7250000834,-0.0001559090888,
0.7416667342,-0.0001454547746,
0.758333385,-0.0001586520084,
0.7750000358,-0.0001529591391,
0.7916667461,-0.0001494398603,
0.8083333969,-0.0001532696624,
0.8250000477,-0.0001619641844,
0.8416667581,-0.0001527003624,
0.8583334088,-0.0001610326435,
0.8750000596,-0.0001586520084,
0.8916667104,-0.0001553398033,
0.9083334208,-0.0001499574137,
0.9250000715,-0.0001522345847,
0.9416667223,-0.0001574616763,
0.9583333731,-0.0001626887242,
0.9750000834,-0.000164189536,
0.9916667342,-0.0001622229465,
1.008333445,-0.0001589625172,
1.025000095,-0.0001666736498,
1.041666746,-0.0001514065225,
1.058333397,-0.0001581344695,
1.075000048,-0.0001610843901,
1.091666698,-0.0001556503121,
1.108333349,-0.0001611361367,
1.125,-0.0001629474864,
1.141666651,-0.0001650693303,
1.158333302,-0.00017955972,
1.174999952,-0.000175833673,
1.191666722,-0.0001602563425,
1.208333373,-0.0001700892753,
1.225000143,-0.0001689507335,
1.241666794,-0.0001678639383,
1.258333445,-0.0001714865648,
1.275000095,-0.0001706585463,
1.291666746,-0.0001744363835,
1.308333516,-0.0001559608354,
1.325000167,-0.0001643448049,
1.341666818,-0.0001668289042,
1.358333468,-0.000171383057,
1.375000119,-0.0001750574011,
1.39166677,-0.000167760445,
1.408333421,-0.0001695200044,
1.425000072,-0.0001691059879,
1.441666842,-0.0001707102929,
1.458333492,-0.0001584967395,
1.475000143,-0.0001819402387,
1.491666794,-0.0001685884781,
1.508333445,-0.0001727803465,
1.525000095,-0.0001721075823,
1.541666746,-0.0001810087415,
1.558333516,-0.0001827682427,
1.575000167,-0.0001762994216,
1.591666818,-0.0001815262367,
1.608333468,-0.0001872704888,
1.625000119,-0.0001735048718,
1.64166677,-0.0001745916379,
1.658333421,-0.000173401364,
1.675000072,-0.0001829752437,
1.691666842,-0.0001681227004,
1.708333492,-0.0001838032476,
1.725000143,-0.0001828199893,
1.741666794,-0.0001865459926,
1.758333445,-0.0001757301652,
1.775000095,-0.0001728321076,
1.791666746,-0.0001755749108,
1.808333516,-0.0001860284974,
1.825000167,-0.0001863389916,
1.841666818,-0.0001891852153,
1.858333468,-0.0001702445297,
1.875000119,-0.0001826647494,
1.89166677,-0.0001897027105,
1.908333421,-0.000183337499,
1.925000072,-0.000179145718,
1.941666842,-0.0001924971584,
1.958333492,-0.0001821989863,
1.975000143,-0.0001847347448,
1.991666794,-0.0001753161632,
2.008333445,-0.0001714865648,
2.025000095,-0.0001822507475,
2.041666746,-0.0001707620395,
2.058333397,-0.0002041405387,
2.075000048,-0.0001762994216,
2.091666698,-0.0001840102486,
2.108333349,-0.0001844242506,
2.125000238,-0.0001875292364,
2.141666651,-0.0002101949649,
2.158333302,-0.000195809087,
2.174999952,-0.0001920314244,
2.191666603,-0.0001974650368,
2.208333254,-0.0001978790242,
2.224999905,-0.0002012944024,
2.241666555,-0.0001820954931,
2.258333445,-0.0002060034458,
2.275000095,-0.0001935838955,
2.291666746,-0.0001886159735,
2.308333397,-0.0001948258578,
2.325000048,-0.0001895474561,
2.341666698,-0.0002046580048,
2.358333349,-0.0001943083771,
2.375,-0.0001953950996,
2.391666651,-0.0001985517592,
2.408333302,-0.0002022258705,
2.424999952,-0.0001997419604,
2.441666842,-0.0001969475561,
2.458333492,-0.0001987587457,
2.475000143,-0.0002012944024,
2.491667032,-0.0002028985909,
2.508333683,-0.0002142312005,
2.525000334,-0.0002044510184,
2.541666985,-0.0002012426557,
2.558333635,-0.00021661153,
2.575000286,-0.0002053824719,
2.591666937,-0.0002114886302,
2.608333588,-0.0002141277073,
2.625000238,-0.0002098327386,
2.641666889,-0.0002111264039,
2.65833354,-0.0002043475251,
2.675000191,-0.0002078663383,
2.691666842,-0.0002259257308,
2.708333492,-0.0002083320724,
2.725000143,-0.0002179051808,
2.741667032,-0.0002066244051,
2.758333683,-0.0002077628451,
