IOH-SAI-02-Abs-Scan_200-790_DRA-Et-05-11-20,,
Wavelength (nm),Abs,
512,0.4722974896,
511,0.4730927646,
510,0.4730255306,
509,0.4739940464,
508,0.4738891423,
507,0.4742054045,
506,0.4746294618,
505,0.4755381644,
504,0.4751287699,
503,0.4752512276,
502,0.476118952,
501,0.4768826663,
500,0.4771792889,
499,0.4777802527,
498,0.478048563,
497,0.4782244861,
496,0.4784057438,
495,0.4790577292,
494,0.4787660539,
493,0.479722023,
492,0.4798835218,
491,0.4795671701,
490,0.4803360999,
489,0.4804133773,
488,0.4808695614,
487,0.481148243,
486,0.4816061258,
485,0.4815763831,
484,0.4813640416,
483,0.4819833338,
482,0.4814711809,
481,0.4828175604,
480,0.4825985134,
479,0.4829585552,
478,0.4828543961,
477,0.482567817,
476,0.4831448793,
475,0.4831154943,
474,0.4832638502,
473,0.4840218127,
472,0.4840987921,
471,0.4832957089,
470,0.484164387,
469,0.4833128154,
468,0.4844156802,
467,0.4841761291,
466,0.4842596054,
465,0.4846926033,
464,0.4848943353,
463,0.4846026003,
462,0.4846923053,
461,0.4848938882,
460,0.4853152931,
459,0.4850295484,
458,0.4857579172,
457,0.4848401845,
456,0.4857346714,
455,0.4868985713,
454,0.4869327247,
453,0.4862119555,
452,0.4865220487,
451,0.4875707626,
450,0.487144798,
449,0.4875515401,
448,0.4871562421,
447,0.4878022075,
446,0.4878371656,
445,0.4880650938,
444,0.4885742068,
443,0.4884836078,
442,0.4900223017,
441,0.489146024,
440,0.4903019369,
439,0.489998579,
438,0.4901801348,
437,0.491019845,
436,0.4907470047,
435,0.4910555184,
434,0.4916915596,
433,0.4919917285,
432,0.4923904538,
431,0.4929276109,
430,0.4930771887,
429,0.4933430552,
428,0.4935762882,
427,0.4945569336,
426,0.4953953922,
425,0.4957399666,
424,0.4956683815,
423,0.496319145,
422,0.4969587922,
421,0.4974564612,
420,0.4979270697,
419,0.498467207,
418,0.4993846714,
417,0.4993640184,
416,0.5005339384,
415,0.5015768409,
414,0.5022098422,
413,0.5015054345,
412,0.5026078224,
411,0.5035358667,
410,0.5038557649,
409,0.5046352744,
408,0.504981935,
407,0.5059859753,
406,0.5061960816,
405,0.5062257648,
404,0.5076687336,
403,0.5091788769,
402,0.5097513795,
401,0.5093670487,
400,0.5121229887,
399,0.511742115,
398,0.5135859847,
397,0.513458252,
396,0.5145022869,
395,0.5154873133,
394,0.5152419806,
393,0.5166806579,
392,0.5179175735,
391,0.518321991,
390,0.5199798942,
389,0.5210583806,
388,0.5224688649,
387,0.522951901,
386,0.5250295401,
385,0.5276890993,
384,0.5279217958,
383,0.5293115377,
382,0.5315014124,
381,0.5320803523,
380,0.5350694656,
379,0.5365962982,
378,0.5382393003,
377,0.539234221,
376,0.5426010489,
375,0.5451396108,
374,0.5470335484,
373,0.5502910018,
372,0.5526394844,
371,0.5548785329,
370,0.5595825911,
369,0.564065516,
368,0.568928957,
367,0.5709568262,
366,0.5753329396,
365,0.5807399154,
364,0.5866728425,
363,0.5920749307,
362,0.5985845327,
361,0.602417469,
360,0.6083968878,
359,0.6154410243,
358,0.6202666759,
357,0.6255319715,
356,0.6311615109,
355,0.6377182603,
354,0.6425240636,
353,0.6484665871,
352,0.6530852318,
351,0.6587995887,
350,0.6638831496,
349,0.6646507382,
348,0.6700590849,
347,0.6794963479,
346,0.6792266965,
345,0.6820886135,
344,0.6899200678,
343,0.6915537715,
342,0.6965500116,
341,0.70469594,
340,0.7064886093,
339,0.7093188167,
338,0.7150707245,
337,0.7167993784,
336,0.720795393,
335,0.7249006033,
334,0.7308058739,
333,0.7340003252,
332,0.7371329665,
331,0.738314271,
330,0.7408498526,
329,0.7477454543,
328,0.7476296425,
327,0.7525510788,
326,0.7544767261,
325,0.7525647283,
324,0.7557438016,
323,0.755401969,
322,0.7575796843,
321,0.7611079812,
320,0.7589870095,
319,0.7598239779,
318,0.7629956007,
317,0.7615760565,
316,0.7616775036,
315,0.7669565678,
314,0.7654592395,
313,0.7654610276,
312,0.7668014169,
311,0.7663279772,
310,0.76835531,
309,0.7687553763,
308,0.7672826052,
307,0.7686101794,
306,0.7669644952,
305,0.7686902881,
304,0.7662536502,
303,0.7671433091,
302,0.7668293715,
301,0.7680798769,
300,0.7689473033,
299,0.7697408795,
298,0.7656059265,
297,0.7659006119,
296,0.76868999,
295,0.7673054934,
294,0.7706282139,
293,0.7732750773,
292,0.7713579535,
291,0.7715048194,
290,0.7723275423,
289,0.7711235881,
288,0.7682878375,
287,0.7722083926,
286,0.7725337744,
285,0.7729980946,
284,0.7742632031,
283,0.7724369764,
282,0.7715459466,
281,0.7724391818,
280,0.7736686468,
279,0.7755477428,
278,0.7738469243,
277,0.7721906304,
276,0.7747327089,
275,0.7741376758,
274,0.775780499,
273,0.7730045915,
272,0.774456799,
271,0.7762829065,
270,0.7763903737,
269,0.7774224281,
268,0.7766820788,
267,0.777561307,
266,0.7793388367,
265,0.7779486179,
264,0.7784273028,
263,0.7801749706,
262,0.7780791521,
261,0.7792608142,
260,0.7765584588,
259,0.7798640132,
258,0.7826493382,
257,0.7803685665,
256,0.7823626995,
255,0.7834599614,
254,0.7853995562,
253,0.782875061,
252,0.7855734825,
251,0.7857219577,
250,0.7891774774,
249,0.788577497,
248,0.7919839025,
247,0.793653965,
246,0.7952043414,
245,0.7989538312,
244,0.800730288,
243,0.8032420874,
242,0.8080272079,
241,0.8108059764,
240,0.8128159046,
239,0.8158670664,
238,0.8211944103,
237,0.8254580498,
236,0.8287017941,
235,0.8310410976,
234,0.8354952335,
233,0.8371630311,
232,0.8408711553,
231,0.8429048061,
230,0.8475230336,
229,0.8467264175,
228,0.8484539986,
227,0.849855721,
226,0.8477709293,
225,0.8474581242,
224,0.8451915979,
223,0.8455733657,
222,0.8464688659,
221,0.8436868191,
220,0.8443178535,
219,0.8441855907,
218,0.8403922915,
217,0.8424675465,
216,0.840452373,
215,0.8413282037,
214,0.8378084302,
213,0.8383107781,
212,0.833607018,
211,0.8268774748,
210,0.8282577991,
209,0.8197914362,
208,0.815805316,
207,0.8123757839,
206,0.8127129078,
205,0.8034075499,
204,0.7976668477,
203,0.7947494388,
202,0.7819056511,
201,0.7620691061,
200,0.7544218302,

